"","date","AA","Cs","MP","PP","PSOE","UP","Vox","Izquierda","Derecha","PP.enc","PSOE.enc","Vox.enc","UP.enc","Cs.enc","AA.enc","MP.enc","Derecha.enc","Izquierda.enc"
"1",2022-02-23,5.73,5.29,1.57,30.79,28.45,7.83,17.28,43.58,53.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2022-02-22,5.73,5.29,1.57,30.79,28.45,7.84,17.28,43.59,53.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2022-02-21,5.73,5.29,1.57,30.8,28.45,7.84,17.28,43.59,53.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2022-02-20,5.73,5.28,1.57,30.81,28.45,7.84,17.28,43.59,53.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2022-02-19,5.73,5.28,1.57,30.81,28.45,7.84,17.28,43.59,53.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2022-02-18,5.73,5.28,1.57,30.82,28.45,7.84,17.28,43.59,53.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2022-02-17,5.73,5.27,1.57,30.82,28.45,7.84,17.28,43.59,53.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2022-02-16,5.73,5.27,1.57,30.83,28.45,7.84,17.28,43.59,53.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2022-02-15,5.73,5.27,1.57,30.84,28.45,7.84,17.28,43.59,53.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2022-02-14,5.73,5.26,1.57,30.84,28.46,7.84,17.28,43.6,53.38,29.9,28.8,18.2,7.7,5,6,1.6,53.1,44.1
"11",2022-02-13,4.5,6.36,1.67,34.19,26.71,9.03,14.1,41.91,54.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2022-02-12,4.5,6.36,1.67,34.19,26.72,9.03,14.1,41.92,54.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2022-02-11,4.5,6.35,1.67,34.2,26.72,9.03,14.1,41.92,54.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2022-02-10,4.5,6.35,1.67,34.21,26.72,9.03,14.1,41.92,54.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2022-02-09,4.5,6.35,1.67,34.21,26.72,9.04,14.1,41.93,54.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2022-02-08,4.5,6.34,1.67,34.22,26.72,9.04,14.1,41.93,54.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2022-02-07,4.5,6.34,1.67,34.23,26.72,9.04,14.1,41.93,54.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2022-02-06,4.5,6.34,1.67,34.23,26.72,9.04,14.09,41.93,54.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2022-02-05,4.5,6.34,1.67,34.24,26.72,9.04,14.09,41.93,54.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2022-02-04,4.5,6.33,1.67,34.24,26.72,9.04,14.09,41.93,54.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2022-02-03,4.5,6.33,1.67,34.25,26.72,9.04,14.09,41.93,54.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2022-02-02,4.5,6.33,1.67,34.26,26.72,9.04,14.09,41.93,54.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2022-02-01,4.5,6.32,1.67,34.26,26.72,9.04,14.09,41.93,54.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2022-01-31,4.5,6.32,1.67,34.27,26.72,9.04,14.09,41.93,54.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2022-01-30,4.5,6.32,1.67,34.27,26.72,9.04,14.09,41.93,54.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2022-01-29,4.5,6.31,1.67,34.28,26.72,9.04,14.09,41.93,54.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2022-01-28,4.5,6.31,1.67,34.29,26.72,9.05,14.09,41.94,54.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2022-01-27,4.5,6.31,1.67,34.29,26.72,9.05,14.09,41.94,54.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2022-01-26,4.5,6.3,1.67,34.3,26.72,9.05,14.09,41.94,54.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2022-01-25,4.5,6.3,1.67,34.31,26.72,9.05,14.09,41.94,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2022-01-24,4.5,6.3,1.67,34.31,26.72,9.05,14.09,41.94,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2022-01-23,4.5,6.29,1.67,34.32,26.72,9.05,14.09,41.94,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2022-01-22,4.5,6.29,1.67,34.32,26.72,9.05,14.09,41.94,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2022-01-21,4.5,6.29,1.67,34.33,26.72,9.05,14.09,41.94,54.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2022-01-20,4.5,6.29,1.67,34.34,26.72,9.05,14.09,41.94,54.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2022-01-19,4.5,6.28,1.67,34.34,26.72,9.05,14.09,41.94,54.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2022-01-18,4.5,6.28,1.67,34.35,26.72,9.05,14.09,41.94,54.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2022-01-17,4.5,6.28,1.67,34.35,26.72,9.05,14.09,41.94,54.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
